,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
1766,Bewakoof,Fashion,Venture - Series Unknown,8000000.0,Mumbai,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",2012.0,Prabhkiran Singh,InvestCorp,2021
1767,Kirana247,Logistics,Venture - Series Unknown,1000000.0,Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,2018.0,"Tarun Jiwarajka, Pankhuri Jiwarajka",,2021
1768,FanPlay,Computer Games,Venture - Series Unknown,1200000.0,Computer Games,A real money game app specializing in trivia games,2020.0,YC W21,"Pritesh Kumar, Bharat Gupta",2021
1769,NeoDocs,HealthTech,Venture - Series Unknown,,Mumbai,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",2020.0,"Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",2021
1770,IsGoingOnline,Retail,Venture - Series Unknown,200000.0,Kochi,Kochi-based digital catalogue and marketplace IsGoingOnline,2015.0,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",2021
1771,Camp K12,EdTech,Venture - Series Unknown,12000000.0,Gurugram,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",2010.0,Anshul Bhagi,"Matrix Partners India, Elevation Capital",2021
1772,Elda Health,HealthTech,Venture - Series Unknown,1500000.0,Bangalore,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",2020.0,"Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",2021
1773,Sporjo,SportsTech,Venture - Series Unknown,2000000.0,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,2020.0,G Srinivvasan,Punit Balan,2021
1774,Advantage Club,HRTech,Venture - Series Unknown,1700000.0,Mumbai,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",2014.0,"Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",2021
1775,SuperGaming,Gaming,Venture - Series Unknown,5500000.0,Pune,"At SuperGaming, building India's best gaming company.",2017.0,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",2021
1776,Ruptok,FinTech,Venture - Series Unknown,1000000.0,Delhi,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",2020.0,Ankur Gupta,Eclear Leasing,2021
1777,Curefoods,Food and Beverages,Venture - Series Unknown,13000000.0,Bangalore,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,2020.0,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",2021
1778,TartanSense,InfoTech & Services,Series A,5000000.0,Bangalore,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,2015.0,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",2021
1779,Bewakoof,Fashion,Venture - Series Unknown,8000000.0,Mumbai,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",2012.0,Prabhkiran Singh,InvestCorp,2021
1780,Kirana247,Logistics,Pre-series A,1000000.0,Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,2018.0,"Tarun Jiwarajka, Pankhuri Jiwarajka",,2021
1781,FanPlay,Computer Games,Venture - Series Unknown,1200000.0,Computer Games,A real money game app specializing in trivia games,2020.0,YC W21,"Pritesh Kumar, Bharat Gupta",2021
1782,NeoDocs,HealthTech,Pre-seed,,Mumbai,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",2020.0,"Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",2021
1783,IsGoingOnline,Retail,Pre-series A,200000.0,Kochi,Kochi-based digital catalogue and marketplace IsGoingOnline,2015.0,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",2021
1784,Camp K12,EdTech,Series A,12000000.0,Gurugram,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",2010.0,Anshul Bhagi,"Matrix Partners India, Elevation Capital",2021
1785,Elda Health,HealthTech,Seed,1500000.0,Bangalore,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",2020.0,"Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",2021
1786,Sporjo,SportsTech,Pre-series A,2000000.0,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,2020.0,G Srinivvasan,Punit Balan,2021
1787,Advantage Club,HRTech,Venture - Series Unknown,1700000.0,Mumbai,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",2014.0,"Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",2021
1788,SuperGaming,Gaming,Series A,5500000.0,Pune,"At SuperGaming, building India's best gaming company.",2017.0,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",2021
1789,Ruptok,FinTech,Venture - Series Unknown,1000000.0,Delhi,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",2020.0,Ankur Gupta,Eclear Leasing,2021
1790,O’ Be Cocktails,Wine & Spirits,Venture - Series Unknown,400000.0,Bangalore,India’s first and only Ready to Drink Premium Cocktails.,2019.0,Nitesh Prakash,"First Cheque, Letsventure",2021
1791,Zetwerk,Mechanical & Industrial Engineering,Series E,150000000.0,Bangalore,ZETWERK is a universal manufacturing network powered by new-age technology.,2018.0,"Srinath Ramakkrushnan, Amrit Acharya",,2021
1792,AppsForBharat,Spiritual,Seed,4000000.0,Bangalore,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",2020.0,Prashant Sachan,"Sequoia Capital India, BEENEXT",2021
1793,Imagimake,Consumer Goods,Venture - Series Unknown,,Mumbai,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.",2011.0,"Disha Katharani, Ravi Jalan",Velocity,2021
1794,Khatabook,FinTech,Series C,100000000.0,Bangalore,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,2018.0,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",2021
1795,Smytten,Consumer Goods,Series A,6000000.0,Gurugram,India's largest premium discovery and trial platform!,2015.0,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,2021
1796,Syook,AI,Series A,1000000.0,Bangalore,Syook is building the next generation enterprise IOT platform.,2016.0,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",2021
1797,Akudo,FinTech,Pre-seed,,Bangalore,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,2020.0,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",2021
1798,NOTO,Consumer Goods,Pre-series A,500000.0,Mumbai,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.",2019.0,"Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",2021
1799,Lumiq,InfoTech & Services,Seed,2000000.0,Noida,Help enterprises monetize their data and reinvent the digital transformation journey.,2013.0,Shoaib Mohammad,Info Edge Ventures,2021
1800,CommerceUp,InfoTech & Services,Seed,,Gurugram,Grow and manage ecommerce business from single dashboard,2018.0,Piyush Pathak,NB Ventures,2021
1801,Breathe Well-being,HealthTech,Series A,5500000.0,Gurugram,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",2015.0,"Rohan Verma, Aditya Kaicker",Accel,2021
1802,Hike,InfoTech & Services,Venture - Series Unknown,,Delhi,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,2012.0,Kavin Bharti Mittal,"Binny Bansal, Kunal Shah",2021
1803,House of Kieraya,Lifestyle,Venture - Series Unknown,15000000.0,Bangalore,"House of Kieraya, well-known for furniture and lifestyle rental brand ﻿Furlenco",2013.0,Ajith Mohan Karimpana,TradeCred,2021
1804,goEgoNetwork,Automotive,Venture - Series Unknown,2000000.0,Pune,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.",2019.0,"Dheeman Kadam, Sayantan Chakraborti",,2021
1805,Probus,AI,Bridge,500000.0,Delhi,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",2017.0,"Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,2021
1806,DrinkPrime,Consumer Goods,Venture - Series Unknown,1000000.0,Bangalore,India's Smartest Water Purifiers and are redefining water purifier ownership.,2016.0,Anil Kejriwal,"UC Inclusive Credit, Western Capital",2021
1807,Smart Express,Logistics,Seed,10000000.0,Mumbai,India’s Most Innovative and Awarded Express Logistics Company.,,Yogesh Dhingra,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",2021
1808,Smallcase,FinTech,Series C,40000000.0,Bangalore,Smallcase is a new way to invest in the stock markets.,2015.0,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,2021
1809,SATYA MicroCapital,Banking,Venture - Series Unknown,10000000.0,Delhi,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,2017.0,Vivek Tiwari,"responsAbility Investments, Blue Orchard",2021
1810,Snack Amor,Food and Beverages,Venture - Series Unknown,,Mumbai,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",2014.0,Deepak Grover,"Sanchit Agarwal, Sujan Sinha, Michael Cooke",2021
1811,Postman,Tech,Series D,225000000.0,Bangalore,Postman is the collaboration platform for API development.,2014.0,"Abhinav Asthana, Abhijit Kane, Ankit Sobti","CRV, Nexus Venture Partners",2021
1812,Hashnode,Tech,Series A,6700000.0,Bangalore,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,2016.0,"Syed Fazle Rahman, Sandeep Panda","Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge",2021
1813,RACEnergy,Automotive,Seed,1300000.0,Hyderabad,RACEnergy is working to power the future of mobility through clean and efficient technologies.,2018.0,Arun Sreyas Reddy,"Micelio Fund, growX ventures",2021
1814,BharatPe,FinTech,Debt Financing,20000000.0,Delhi,The vision to make financial inclusion a reality for Indian merchants.,2018.0,"Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital",2021
1815,Gyde,Tech,Seed,250000.0,Pune,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.",2019.0,"Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar",2021
1816,BatteryPool,Automotive,Seed,,Pune,Building the Operating System for managing Electric Vehicles in fleets.,2018.0,Ashwin Shankar,IAN,2021
1817,AgNext,AgriTech,Series A,21000000.0,Chandigarh,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",2016.0,Taranjeet Singh Bhamra,Alpha Wave Incubation,2021
1818,Xpresslane,Tech startup,Pre-seed,400000.0,Bangalore,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",2019.0,Ashwin Koorakula,"Point One Capital, Yatra Angel Network (YAN), Opus Consulting, Manipal Technologies.",2021
1819,LoanKuber,Digital mortgage,Pre-series A,1200000.0,Delhi,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,2016.0,Saurabh Nagpal,,2021
1820,OYO,Hospitality,Series F2,5000000.0,Gurugram,OYO is a global travel tech company that connects its patrons and guests.,2013.0,Ritesh Agarwal,Microsoft,2021
1821,Rapido,InfoTech & Services,Venture - Series Unknown,52000000.0,Bangalore,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,2015.0,"Aravind Sanka, Pavan Guntupalli, SR Rishikesh","Shell Ventures, Yamaha, Kunal Shah",2021
1822,YPay,FinTech,Venture - Series Unknown,400000.0,Noida,YPay Card is the new way to manage money.,2017.0,Dr Navneet Gupta,We Founder Circle,2021
1823,SleepyCat,Furniture,Venture - Series Unknown,3800000.0,Mumbai,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,2017.0,Kabir Siddiq,"Saama Capital, DSG Consumer Partners, Sharrp Ventures",2021
1824,Ultrahuman,HealthTech,Venture - Series Unknown,17500000.0,Bangalore,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,2020.0,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,2021
1825,UpScalio,E-Commerce,Venture - Series Unknown,42000000.0,Gurugram,"UpScalio is India’s next generation, data-driven consumer goods company.",2021.0,Gautam Kshatriya,,2021
1826,Yellow Class,EdTech,Venture - Series Unknown,6000000.0,Gurugram,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on",2020.0,"Anshul Gupta, Arpit Mittal",Elevation Capital,2021
1827,Yojak,B2B marketplace,Venture - Series Unknown,3800000.0,Gurugram,India’s first B2B online marketplace for building material.,2019.0,Anuj Jain,Info Edge Ventures,2021
1828,CreatorStack,Tech,Venture - Series Unknown,2000000.0,Bangalore,Helping creators globally to engage deeply with their fans and communities,2019.0,"Ankit Acharya, Kevin William David",Accel,2021
1829,Expertrons,EdTech,Venture - Series Unknown,2300000.0,Mumbai,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,2019.0,"Jatin Solank, Vivek Gupta","Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels",2021
1830,Rage Coffee,Food and Beverages,Venture - Series Unknown,5000000.0,Delhi,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",2018.0,Bharat Sethi,Sixth Sense Ventures,2021
1831,Klub,FinTech,Venture - Series Unknown,20000000.0,Bangalore,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,2019.0,"Anurakt Jain, Ishita Verma","9Unicorns, Sequoia Capital India’s Surge",2021
1832,Navia Life Care,Healtcare,Venture - Series Unknown,1000000.0,Delhi,Navia Life Care is a health technlogy company with a special focus on patient care.,2016.0,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta","Anicut Angel Fund, 9 Unicorns",2021
1833,1K Kirana Bazaar,Retail,Venture - Series Unknown,7000000.0,Gurugram,India's First and Largest Network of Small-Town Kirana Stores,2018.0,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge",2021
1834,Zupee,Gaming,Venture - Series Unknown,30000000.0,Gurugram,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications",2018.0,"Dilsher Singh, Siddhant Saurabh","WestCap Group, Tomales Bay Capital",2021
1835,Locale.ai,Location Analytics,Venture - Series Unknown,1000000.0,Bangalore,Location Analytics for Companies With Moving Assets and Ground Operations.,2019.0,"Rishabh Jain, Aditi Sinha","Chiratae Ventures, Better Capital",2021
1836,VerSe Innovation,Media,Venture - Series Unknown,450000000.0,Bangalore,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",2018.0,Umang Bedi,"Siguler Guff, Baillie Gifford",2021
1837,MetroRide,Transportation,Venture - Series Unknown,,Bangalore,"Urban Mobility Affordable, Punctual & Sustainable.",2020.0,"Girish Nagpal, Kaaman Agarwal",,2021
1838,Miko,Consumer Electronics,Venture - Series Unknown,28000000.0,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2015.0,"Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar","IIFL AMC, Mankind Pharma Family Office, Aroa Ventures",2021
1839,Whiz League,EdTech,Venture - Series Unknown,300000.0,Delhi,Revolutionizing learning experience that goes beyond academia,2020.0,"Natasha Jain, Sonia Agarwal Bajaj",ITI Growth Opportunities,2021
1840,Hash,Tobacco,Venture - Series Unknown,3500000.0,Delhi,Hash is a new startup in consumer goods.,2020.0,Shwetank Jain,Amrac Investment Trust,2021
1841,Unacademy,EdTech,Venture - Series Unknown,,Bangalore,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,2015.0,"Gaurav Munjal, Hemesh Singh, Roman Saini",Bhavin Turakhia,2021
1842,Log 9 Materials,Deeptech,Series A+,8500000.0,Bangalore,Log9 Materials is on a mission to make global energy 100% clean.,2014.0,"Akshay Singhal, Kartik Hajela",Amara Raja Batteries,2021
1843,upGrad,EdTech,Venture - Series Unknown,25000000.0,Mumbai,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",2015.0,"Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",India Infoline Finance,2021
1844,FlashPrep,EdTech,Pre-seed,500000.0,Bangalore,FlashPrep is the smart way to master learning.,2020.0,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,2021
1845,Kenko Health,Insuretech,Pre-series A,1700000.0,Mumbai,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience",2019.0,"Aniruddha Sen, Dhiraj Goel","BEENEXT, Orios",2021
1846,Wiz Freight,Logistics,Seed,3500000.0,Chennai,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.",2020.0,"Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,2021
1847,Credgenics,FinTech,Series A,25000000.0,Delhi,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,2018.0,"Rishabh Goel, Mayank Khera, Anand Agrawal","Westbridge Capital, Tanglin Venture Partners",2021
1848,BlueLearn,EdTech,Pre-seed,400000.0,Goa,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!",2020.0,"Harish Uthayakumar, Shreyans Sancheti","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",2021
1849,NimbleBox.ai,MLOps platform,Seed,1000000.0,Chennai,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,2018.0,"Anshuman Pandey, Rohan Pooniwala",Venture Catalysts,2021
1850,Pickrr,Logistics,Series B,12000000.0,Gurugram,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,2015.0,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik","IIFL, Amicus Capital, Ananta Capital",2021
1851,Stellaris Venture Partners,Venture Capital,Venture - Series Unknown,225000000.0,Bangalore,Early-stage tech VC in India.,2015.0,"Ritesh Banglani, Alok Goyal, Rahul Chowdhri",,2021
1852,Grip Invest,FinTech,Series A,3000000.0,Gurugram,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.",2020.0,"Nikhil Aggarwal, Vivek Gulati","Venture Highway, Endiya Partners",2021
1853,Heads Up For Tails,Pet care,Series A,37000000.0,Delhi,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",2008.0,Rashi Sanon,"Verlinvest, Sequoia Capital India",2021
1854,Blue Tokai Coffee Roasters,Food and Beverages,Pre-series B,2000000.0,Delhi,"Source, roast, and brew India's best single-origin Arabica coffee.",2012.0,"Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,2021
1855,Neeman,Consumer Goods,Series A,2000000.0,Hyderabad,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,2017.0,Taran Chhabra,Sixth Sense Ventures,2021
1856,BharatPe,FinTech,Series E,370000000.0,Delhi,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",2018.0,"Ashneer Grover, Shashvat Nakrani",Tiger Global,2021
1857,GoSats,FinTech,Seed,700000.0,Bangalore,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,2020.0,"Mohammed Roshan, Roshni Aslam","Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital",2021
1858,StockGro,FinTech,Pre-series A,5000000.0,Bangalore,Making Investment Social- India's First Social Trading Platform,2020.0,Ajay Lakhotia,"Roots Ventures, Velo Partners",2021
1859,Onsurity,HealthTech,Series A,16000000.0,Bangalore,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!",2020.0,"Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,2021
1860,Khabri,Media,Pre-series A,2000000.0,Gurugram,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,2017.0,"Pulkit Sharma, Aankit Roy, Sandeep Singh",,2021
1861,Celcius,Logistics,Venture - Series Unknown,500000.0,Mumbai,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,2020.0,Swarup Bose,"Mumbai Angels Network, Huddle, Lumis Partners",2021
1862,AyuRythm,HealthTech,Seed,,Bangalore,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,2017.0,Abhilesh Gupta,SucSEED Indovation Fund,2021
1863,Enguru,EdTech,Pre-series A,,Bangalore,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,2014.0,"Arshan Vakil, Tahem Veer Verma, Udit Hinduja","Potencia Ventures, Bisk Ventures, LetsVenture, Ronnie Screwvala, Arihant Patni",2021
1864,Rocket Skills,EdTech,Pre-seed,200000.0,Gurugram,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,2020.0,"Vibhu Bahuguna, Mohit Jain","Better Capital, First Cheque, Titan Capital",2021
1865,RenewBuy,FinTech,Series C,10000000.0,Gurugram,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",2015.0,Balachander Sekhar,Evolvence Capital,2021
1866,Faarms,AgriTech,Seed,2000000.0,Bangalore,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,2020.0,"Taranbir Singh, Alok Duggal",,2021
1867,UrbanMatrix Technologies,Drone,Venture - Series Unknown,100000.0,Chennai,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,2019.0,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,2021
1868,Jupiter,Banking,Series B,44000000.0,Mumbai,"A digital banking experience that keeps pace with you, and helps master money too.",2019.0,Jitendra Gupta,"Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India",2021
1869,Pixuate,Deeptech,Seed,1000000.0,Bangalore,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.",2012.0,"Akshata Kari, Prathvi Palekar",SucSEED Indovation Fund,2021
1870,Playo,SportsTech,Pre-series A,500000.0,Bangalore,Playo is a one stop destination app for all things sports,2014.0,Daanish Suhail,ah! Ventures High Tables,2021
1871,Toothsi,HealthTech,Series B,20000000.0,Mumbai,India’s first and largest at home smile makeover service using invisible aligners.,2018.0,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",2021
1872,Soothe Healthcare,Consumer Goods,Series C,10000000.0,Delhi,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",2012.0,Sahil Dharia,A91 Partners,2021
1873,Goodmeetings,Tech,Series A,1700000.0,Bangalore,AI-Based Platform Built Exclusively for Remote Selling,2020.0,Srinivasan Narayan,Chiratae Ventures,2021
1874,Apnaklub,Wholesale,Seed,3500000.0,Bangalore,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,2020.0,"Shruti, Manish Kumar",Sequoia’s Surge,2021
1875,ChefKart,Consumer Goods,Pre-seed,300000.0,Gurugram,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.",2020.0,"Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures",2021
1876,Fashinza,Fashion,Series A,20000000.0,Gurugram,A new-age supply chain and product development platform for the fashion industry.,2020.0,"Pawan Gupta, Abhishek Sharma","Accel Partners, Elevation Capital",2021
1877,Fabheads,AI,Pre-series A,,Chennai,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,2015.0,Dhinesh Kanagaraj,"Inflection Point Ventures, Rockstud Capital, FirstPort Capital, Bliss Flow Investments Pvt Ltd",2021
1878,QuickShift,Logistics,Seed,770000.0,Pune,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",2016.0,Anshul Goenka,"Anicut Angel Fund, Axilor Ventures",2021
1879,StackBOX,Logistics,Venture - Series Unknown,1200000.0,Bangalore,DISTRIBUTION SIMPLIFIED,2016.0,"Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group",2021
1880,MedPrime Technologies,HealthTech,Seed,,Thane,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.",2014.0,"Samrat, Greeshma Unnikrishnan, Binil Jacob, Mahesh Kumar Rathor","Mumbai Angels Network, Social Alpha",2021
1881,infra.market,Construction,Series D,125000000.0,Thane,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,2016.0,"Souvik Sengupta, Aaditya Sharda",Tiger Global,2021
1882,CollegeDekho,E-learning,Series B,35000000.0,Gurugram,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",2015.0,Ruchir Arora,"Disrupt ADQ, QIC",2021
1883,BOX8,Food and Beverages,Venture - Series Unknown,40000000.0,Mumbai,India's Largest Desi Meals Brand,2012.0,"Anshul Gupta, Amit Raj",Tiger Global,2021
1884,Simpl,Consumer Services,Series B,40000000.0,Bangalore,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards",2015.0,"Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",2021
1885,8i Ventures,Venture Capital & Private Equity,Venture - Series Unknown,50000000.0,Mumbai,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,2018.0,Vikram Chachra,,2021
1886,PayGlocal,FinTech,Series A,4900000.0,Bangalore,PayGlocal is a FinTech solving for global payments acceptance,2021.0,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",Sequoia Capital India,2021
1887,Curefit,"Health, Wellness & Fitness",Venture - Series Unknown,145000000.0,Bangalore,Tata Digital-backed Curefit,2016.0,"Mukesh Bansal, Ankit",Zomato,2021
1888,Pocket FM,OTT,Series B,22000000.0,Bangalore,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.",2018.0,"Rohan, Nishanth Srinivas, Prateek Dixit","Lightspeed, Times Group, Tanglin Venture Partners",2021
1889,CHARGE+ZONE,Automotive,Venture - Series Unknown,10000000.0,Vadodara,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,2018.0,Kartikey Hariyani,Venture Catalysts,2021
1890,PlanetSpark,Education Management,Series B,13000000.0,Gurugram,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,2017.0,"Maneesh Dhooper, Kunal Malik","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",2021
